City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
Inhambane,-23.865,35.3833,73.17,90,100,9.6,MZ,1639706675
Karpathos,35.507,27.2132,51.76,76,36,18.41,GR,1639706675
São João da Barra,-21.6403,-41.0511,75.78,92,100,8.19,BR,1639706668
Ixtapa,20.7,-105.2,74.23,87,23,1.01,MX,1639706643
Atar,20.5169,-13.0499,67.8,20,7,2.71,MR,1639706676
Anadyr,64.75,177.4833,-5.01,76,20,8.01,RU,1639706381
Colwyn Bay,53.2948,-3.7267,47.64,88,0,3.0,GB,1639706677
Vila,42.0304,-8.1588,45.12,51,48,6.64,PT,1639706678
Solnechnyy,50.7214,136.6319,-14.22,85,100,3.74,RU,1639706678
San Cristobal,7.7669,-72.225,68.18,97,100,0.6,VE,1639706601
Moindou,-21.6924,165.677,84.15,56,14,11.23,NC,1639706678
Mana,5.6592,-53.7767,77.16,88,95,6.58,GF,1639706679
Vila Franca do Campo,37.7167,-25.4333,65.19,85,100,19.15,PT,1639706628
Timaru,-44.4,171.25,55.31,82,100,7.43,NZ,1639706407
Hiratachō,35.4333,132.8167,47.79,59,78,26.89,JP,1639706582
Dabat,12.9842,37.765,51.89,41,9,4.54,ET,1639706680
Pitanga,-24.7572,-51.7614,66.45,96,99,3.06,BR,1639706653
Nabire,-3.3667,135.4833,74.17,97,100,2.33,ID,1639706740
Carballo,43.213,-8.691,43.95,73,12,3.18,ES,1639706740
Artyom,40.4723,50.333,48.34,89,100,11.1,AZ,1639706741
Dibulla,11.2725,-73.3091,78.53,78,100,12.77,CO,1639706742
Tuatapere,-46.1333,167.6833,61.83,57,51,15.57,NZ,1639706500
Adrar,20.5022,-10.0711,71.51,23,100,1.21,MR,1639706498
Hong Kong,22.2855,114.1577,74.01,73,100,1.99,HK,1639706668
Forsytheganj,52.6333,29.7333,35.65,84,100,10.04,BY,1639706744
Ostrovnoy,68.0531,39.5131,28.67,94,100,10.63,RU,1639706744
Mahébourg,-20.4081,57.7,75.25,80,18,8.21,MU,1639706744
Makkah al Mukarramah,21.4267,39.8261,71.42,82,100,3.38,SA,1639706745
Coahuayana Viejo,18.7333,-103.6833,74.73,91,11,0.45,MX,1639706745
Ende,-8.8432,121.6623,88.11,64,64,2.86,ID,1639706599
Araouane,18.9048,-3.5265,73.83,20,41,9.64,ML,1639706746
Taoudenni,22.6783,-3.9836,74.77,25,6,7.25,ML,1639706747
Bandarbeyla,9.4942,50.8122,76.89,80,100,13.98,SO,1639706636
Arraial do Cabo,-22.9661,-42.0278,76.59,89,86,6.44,BR,1639706653
Chingirlau,51.095,54.0814,21.56,97,57,5.03,KZ,1639706748
Walvis Bay,-22.9575,14.5053,56.08,90,0,2.89,NA,1639706703
Hithadhoo,-0.6,73.0833,82.02,74,77,5.73,MV,1639706749
Safaga,26.7292,33.9365,62.35,51,100,11.61,EG,1639706749
Saint-Joseph,-21.3667,55.6167,73.08,77,26,3.42,RE,1639706749
Dunedin,-45.8742,170.5036,56.8,77,39,5.99,NZ,1639706749
Am Timan,11.0297,20.2827,73.69,31,99,5.19,TD,1639706750
Navahrudak,53.6,25.8333,34.11,90,100,13.96,BY,1639706667
Bundaberg,-24.85,152.35,86.22,53,4,5.99,AU,1639706751
Boden,65.8252,21.6886,35.6,69,59,12.41,SE,1639706605
Chimbote,-9.0853,-78.5783,68.04,82,56,6.04,PE,1639706752
Bethel,41.3712,-73.414,54.46,63,100,4.0,US,1639706753
Mandalgovi,45.7625,106.2708,-1.01,74,12,9.86,MN,1639706753
Lorengau,-2.0226,147.2712,84.29,73,100,2.42,PG,1639706753
Lokosovo,61.1333,74.8167,10.11,96,100,5.99,RU,1639706753
Costa Rica,-23.4167,-54.65,78.93,65,3,4.74,BR,1639706754
Nizwá,22.9333,57.5333,58.87,58,53,1.9,OM,1639706592
Ust-Kuyga,70.0167,135.6,-48.17,100,99,1.07,RU,1639706754
Humberto de Campos,-2.5983,-43.4611,79.48,82,86,7.92,BR,1639706755
Hope,33.6671,-93.5916,65.59,97,90,1.61,US,1639706755
Zunyi,27.6867,106.9072,41.9,92,100,8.86,CN,1639706628
Staritsa,56.5075,34.9354,32.58,96,100,5.73,RU,1639706756
Salalah,17.0151,54.0924,71.69,60,0,6.91,OM,1639706756
Porto-Novo,6.4965,2.6036,77.92,86,30,3.53,BJ,1639706756
Pisco,-13.7,-76.2167,68.05,77,0,11.5,PE,1639706757
Buluang,13.3068,123.3425,80.92,87,100,10.09,PH,1639706757
Beloha,-25.1667,45.05,72.95,90,48,6.24,MG,1639706757
Taungdwingyi,20.0167,95.55,68.16,61,9,6.26,MM,1639706703
Līsakovsk,52.5369,62.4936,27.12,92,100,12.19,KZ,1639706758
Abadan,38.0507,58.2056,43.11,30,7,1.88,TM,1639706616
Dayong,25.0209,118.2898,68.9,83,96,5.64,CN,1639706758
Kodinsk,58.6881,99.1844,12.04,94,100,7.0,RU,1639706758
Codrington,-38.2667,141.9667,87.82,19,100,8.7,AU,1639706819
Turbat,26.0023,63.044,54.5,16,1,9.33,PK,1639706819
Horn Lake,34.9554,-90.0348,54.72,92,90,8.99,US,1639706652
Peace River,56.2501,-117.286,-9.83,97,66,1.5,CA,1639706820
Constantine,36.365,6.6147,42.08,73,0,1.48,DZ,1639706607
Laguna,38.421,-121.4238,46.45,87,1,3.0,US,1639706821
Shingū,33.7333,135.9833,56.32,65,72,12.19,JP,1639706821
Geraldton,-28.7667,114.6,73.81,53,75,11.5,AU,1639706822
Huambo,-12.7761,15.7392,60.64,98,100,4.47,AO,1639706602
La Ronge,55.1001,-105.2842,-14.71,99,15,5.35,CA,1639706700
Natal,-5.795,-35.2094,79.45,83,40,4.61,BR,1639706611
Port-Gentil,-0.7193,8.7815,79.41,79,100,7.14,GA,1639706823
Broome,42.2506,-75.833,58.57,60,90,1.99,US,1639706823
Lata,40.1629,-8.3327,50.27,70,2,5.93,PT,1639706823
Okhotsk,59.3833,143.3,-6.86,83,100,14.61,RU,1639706823
Gavrilovka,49.9833,36.05,32.4,100,90,6.71,UA,1639706824
Qui Nhon,13.7667,109.2333,75.7,86,100,13.82,VN,1639706762
Planeta Rica,8.4147,-75.5883,76.75,92,100,9.22,CO,1639706824
Elko,41.0002,-115.5012,24.82,93,9,4.97,US,1639706824
Kifrī,34.6959,44.9661,58.66,68,100,8.48,IQ,1639706682
College,64.8569,-147.8028,2.62,81,90,0.0,US,1639706825
Leningradskiy,69.3833,178.4167,-16.56,98,100,1.16,RU,1639706825
São Filipe,14.8961,-24.4956,73.83,73,73,4.59,CV,1639706663
Sambalpur,21.45,83.9667,61.56,61,94,3.51,IN,1639706818
Mata,40.683,-7.4592,45.81,78,4,4.29,PT,1639706826
Turukhansk,65.8167,87.9833,-24.43,100,100,2.91,RU,1639706827
Deputatsky,69.3,139.9,-35.03,94,93,3.04,RU,1639706827
Alexandria,31.2156,29.9553,61.23,60,92,15.17,EG,1639706827
Natitingou,10.3042,1.3796,72.19,16,3,8.57,BJ,1639706667
Te Anau,-45.4167,167.7167,61.54,42,39,11.03,NZ,1639706829
Salinópolis,-0.6136,-47.3561,80.26,82,100,9.48,BR,1639706668
Corpus Christi,27.8006,-97.3964,73.8,89,75,8.99,US,1639706724
Kieta,-6.2167,155.6333,84.92,78,82,7.61,PG,1639706830
Morondava,-20.2833,44.2833,76.77,83,91,6.17,MG,1639706831
Quetta,30.199,67.0097,27.9,22,6,0.22,PK,1639706630
Esmeraldas,-19.7625,-44.3139,72.46,97,100,5.46,BR,1639706831
San Isidro,-12.1167,-77.05,66.45,86,40,3.0,PE,1639706831
Caravelas,-17.7125,-39.2481,76.24,88,96,7.52,BR,1639706832
Hasaki,35.7333,140.8333,47.23,87,100,13.49,JP,1639706809
Charters Towers,-20.1,146.2667,91.45,30,1,11.21,AU,1639706832
Honningsvåg,70.9821,25.9704,35.29,75,58,1.48,NO,1639706833
Berlevåg,70.8578,29.0864,35.53,78,100,3.78,NO,1639706564
Kalmunai,7.4167,81.8167,77.07,88,100,7.85,LK,1639706709
Boguchany,58.3814,97.4531,12.51,93,100,7.4,RU,1639706833
Calama,-22.4667,-68.9333,59.49,29,75,9.22,CL,1639706616
Mitchell,43.7094,-98.0298,20.35,78,1,1.99,US,1639706657
Petauke,-14.2426,31.3253,73.0,58,100,2.59,ZM,1639706713
Pontianak,-0.0333,109.3333,81.99,83,75,4.61,ID,1639706632
Kidal,18.4411,1.4078,69.62,19,85,9.24,ML,1639706664
Bonavista,48.6499,-53.1147,18.12,65,62,5.26,CA,1639706835
Sambava,-14.2667,50.1667,73.87,89,4,7.2,MG,1639706895
Havelock,34.8791,-76.9013,60.91,91,1,1.01,US,1639706895
Paredon,16.0333,-93.8667,79.09,73,0,4.74,MX,1639706896
Necochea,-38.5473,-58.7368,72.03,53,5,14.92,AR,1639706896
Ponta Delgada,37.7333,-25.6667,65.12,82,40,17.27,PT,1639706897
Manicoré,-5.8092,-61.3003,75.49,94,94,1.83,BR,1639706897
Guerrero Negro,27.9769,-114.0611,61.12,57,100,15.17,MX,1639706897
Sretensk,52.2453,117.7093,-15.05,88,47,1.81,RU,1639706897
Arrondissement de Lannion,48.75,-3.4167,47.97,76,90,11.5,FR,1639706898
Shetpe,44.1667,52.1167,37.67,73,24,2.91,KZ,1639706898
Santiago,-33.4569,-70.6483,67.86,51,0,10.36,CL,1639706898
Viking,53.1001,-111.7684,-3.48,98,100,7.02,CA,1639706898
Vao,-22.6667,167.4833,74.95,63,0,9.01,NC,1639706640
Sirajganj,24.45,89.7167,66.72,67,31,8.39,BD,1639706800
Ikalamavony,-21.15,46.5833,65.93,84,47,3.67,MG,1639706702
Melville,40.7934,-73.4151,55.04,69,1,4.0,US,1639706899
Vinkovci,45.2883,18.8047,43.29,93,75,11.5,HR,1639706900
San Patricio,28.017,-97.5169,73.49,82,99,14.83,US,1639706764
Belaya Gora,68.5333,146.4167,-24.41,98,100,3.47,RU,1639706900
Rāwatsār,29.2833,74.3833,49.69,39,0,5.77,IN,1639706679
Opuwo,-18.0607,13.84,68.27,37,4,4.76,NA,1639706901
Klaksvík,62.2266,-6.589,47.32,95,100,16.24,FO,1639706901
Kismayo,-0.3582,42.5454,79.45,83,62,10.96,SO,1639706709
Cabedelo,-6.9811,-34.8339,79.63,79,6,11.52,BR,1639706902
Kabinda,-6.1333,24.4833,65.68,99,100,3.4,CD,1639706669
Saint Anthony,45.0205,-93.218,17.19,74,1,4.0,US,1639706892
Ruteng,-8.6136,120.4721,77.22,59,60,1.07,ID,1639706682
Ust'-Karsk,52.7011,118.8077,-13.56,86,100,2.04,RU,1639706903
Riverton,40.5219,-111.9391,30.0,93,90,11.5,US,1639706634
Springbok,-29.6643,17.8865,63.36,30,12,28.27,ZA,1639706665
Zhongxing,33.7039,118.6792,38.93,38,0,12.3,CN,1639706903
Sobolevo,54.4299,31.8996,32.59,98,100,7.45,RU,1639706904
Evensk,61.95,159.2333,-11.49,79,16,8.77,RU,1639706905
General Roca,-39.0333,-67.5833,68.63,66,27,18.12,AR,1639706905
Aitape,-3.1374,142.3475,80.85,85,98,4.38,PG,1639706905
Oktyabr'skoye,43.0645,44.7417,30.34,100,89,2.24,RU,1639706905
Bilibino,68.0546,166.4372,-11.74,100,100,0.94,RU,1639706906
Chapais,49.7834,-74.8492,44.38,89,100,19.6,CA,1639706906
Palmer,42.1584,-72.3287,52.99,60,75,1.01,US,1639706906
La Santisima Trinidad,-14.8333,-64.9,73.29,95,100,2.89,BO,1639706907
Coos Bay,43.3665,-124.2179,46.13,99,90,0.0,US,1639706907
Falam,22.9167,93.6833,54.88,76,100,0.87,MM,1639706907
Meulaboh,4.1363,96.1285,78.13,89,100,4.27,ID,1639706660
Amapá,1.0,-52.0,72.79,99,100,2.08,BR,1639706640
Lieksa,63.3167,30.0167,21.15,97,31,6.2,FI,1639706908
Khovu-Aksy,51.1333,93.6,-3.98,89,100,4.16,RU,1639706908
Iskateley,67.6803,53.1512,16.29,95,100,7.18,RU,1639706908
Longyearbyen,78.2186,15.6401,21.04,79,45,3.44,SJ,1639706709
Pozo Colorado,-23.4923,-58.7972,83.97,38,98,6.93,PY,1639706909
Bontang,0.1333,117.5,82.67,78,100,7.87,ID,1639706650
Klyuchi,52.2667,79.1667,24.39,76,100,15.3,RU,1639706970
Brooks,50.5834,-111.8851,0.03,83,100,13.42,CA,1639706970
Orahovac,42.3994,20.6547,38.84,80,98,1.57,XK,1639706970
Huilong,31.8111,121.655,45.99,43,1,20.69,CN,1639706971
Palāsa,18.7667,84.4167,66.52,61,14,4.72,IN,1639706971
Rio Grande,-32.035,-52.0986,65.95,88,13,17.56,BR,1639706971
Udachny,66.4167,112.4,-29.56,81,100,2.89,RU,1639706708
Ericeira,38.9627,-9.4156,52.25,71,33,13.94,PT,1639706972
Konëvo,62.1215,39.3192,26.85,97,97,5.66,RU,1639706972
Amet,25.3,73.9333,48.58,35,35,7.47,IN,1639706736
Caucayá,-0.1934,-74.7819,74.21,97,89,2.1,CO,1639706972
Mariveles,14.4833,120.4833,79.88,74,100,21.23,PH,1639706973
Odienné,9.51,-7.5692,76.46,52,100,2.64,CI,1639706973
Hualmay,-11.0964,-77.6139,68.68,82,31,9.08,PE,1639706973
Mumford,5.2618,-0.759,80.24,85,12,6.29,GH,1639706974
Mtwara,-10.2667,40.1833,79.2,75,88,6.78,TZ,1639706974
Trincomalee,8.5711,81.2335,78.71,85,100,7.63,LK,1639706974
Coquimbo,-29.9533,-71.3436,58.73,88,0,4.61,CL,1639706887
Ahipara,-35.1667,173.1667,68.43,69,48,14.58,NZ,1639706975
Hirara,24.8,125.2833,71.58,75,90,28.43,JP,1639706843
Luanda,-8.8368,13.2343,76.73,85,100,5.48,AO,1639706976
Buraidah,26.326,43.975,63.54,26,92,10.18,SA,1639706976
Pāvilosta,56.8879,21.1859,40.91,79,10,21.72,LV,1639706976
Haimen,23.1935,116.6142,68.2,83,97,15.75,CN,1639706977
Susanville,40.4163,-120.653,28.24,100,1,0.0,US,1639706977
Sinnai,39.3042,9.2036,45.9,76,0,5.75,IT,1639706977
Sioux Lookout,50.1001,-91.917,3.58,88,100,12.68,CA,1639706978
La Macarena,2.1837,-73.7849,73.89,92,74,2.3,CO,1639706978
Tambacounda,13.7539,-13.7586,82.69,15,100,9.24,SN,1639706978
Ketchikan,55.3422,-131.6461,21.67,86,1,3.44,US,1639706978
Göksun,38.021,36.4973,27.55,98,96,0.6,TR,1639706979
Galle,6.0367,80.217,79.3,81,55,2.19,LK,1639706979
Gudalur,9.6833,77.2667,69.87,89,69,1.77,IN,1639706980
Ramon,16.7842,121.535,73.89,90,99,3.2,PH,1639706707
Rockhampton,-23.3833,150.5,85.89,48,20,10.36,AU,1639706744
Kropotkin,45.4375,40.5756,41.47,86,99,2.48,RU,1639706981
Plainview,40.7765,-73.4673,55.15,69,1,1.99,US,1639706954
Henties Bay,-22.116,14.2845,55.85,92,25,4.38,NA,1639706981
Rugby,52.3709,-1.2642,46.42,89,1,2.19,GB,1639706982
Vieste,41.8825,16.175,53.06,66,14,16.06,IT,1639706982
Iqaluit,63.7506,-68.5145,4.69,77,90,17.0,CA,1639706982
Djambala,-2.5447,14.7533,66.02,97,100,2.39,CG,1639706982
Rawson,-43.3002,-65.1023,65.35,72,42,10.2,AR,1639706983
Torrington,41.8007,-73.1212,53.96,63,100,1.01,US,1639706983
San-Pédro,4.7485,-6.6363,78.08,85,70,6.15,CI,1639706984
Nemuro,43.3236,145.575,37.44,90,100,1.9,JP,1639706854
Puqi,29.7167,113.8833,50.14,30,5,13.6,CN,1639706764
San Francisco,37.7749,-122.4194,49.42,82,20,1.01,US,1639706963
Boende,-0.2167,20.8667,70.81,98,100,2.59,CD,1639706985
Cortes,41.9395,-1.4396,36.63,75,3,2.01,ES,1639706985
Pringsewu,-5.3582,104.9744,83.52,73,100,6.35,ID,1639707046
Faya,18.3851,42.4509,46.92,69,48,3.13,SA,1639706827
Borogontsy,62.6683,131.1683,-30.91,95,100,2.89,RU,1639707047
Yining,29.0361,114.5636,51.67,46,97,4.25,CN,1639707047
Greystones,53.1408,-6.0631,47.5,86,0,5.23,IE,1639707047
Labuhan,-6.8844,112.2051,83.68,74,100,2.86,ID,1639707047
Ati,13.2154,18.3353,68.0,28,85,12.3,TD,1639707048
Behbahān,30.5959,50.2417,62.33,43,99,5.28,IR,1639707048
Yurimaguas,-5.9,-76.0833,74.77,93,78,3.02,PE,1639707048
Lucapa,-8.4192,20.7447,64.26,98,100,1.92,AO,1639707048
City of San Pedro,14.35,121.0167,85.19,71,100,18.57,PH,1639707049
Chaiyo,14.6764,100.4686,79.66,56,12,8.72,TH,1639707050
Champerico,14.3,-91.9167,81.09,73,96,6.87,GT,1639707050
Kargasok,59.0556,80.8572,10.51,96,100,6.11,RU,1639707050
Pudozh,61.8099,36.5345,26.74,98,97,4.74,RU,1639707051
Novikovo,51.1537,37.8879,33.55,98,100,4.32,RU,1639707051
North Bend,43.4065,-124.2243,45.63,99,90,0.0,US,1639707051
Yeniseysk,58.4497,92.1703,4.75,98,100,2.46,RU,1639707051
Eyl,7.9803,49.8164,75.31,85,100,14.85,SO,1639707052
Assiut,27.181,31.1837,51.4,53,96,7.14,EG,1639707053
Borşa,47.6553,24.6633,31.91,99,100,2.8,RO,1639707053
Galveston,29.3669,-94.9669,71.67,93,1,1.01,US,1639707053
Port Moresby,-9.4431,147.1797,85.71,70,98,6.82,PG,1639707053
Verkhnevilyuysk,63.4453,120.3167,-27.4,100,74,2.53,RU,1639707054
Acapulco de Juárez,16.8634,-99.8901,80.42,83,1,0.0,MX,1639707055
Muros,42.7762,-9.0603,49.35,70,5,5.1,ES,1639707055
Ust'-Kut,56.7938,105.7672,7.52,94,100,6.93,RU,1639707021
Warrington,53.3925,-2.5802,45.27,92,90,3.44,GB,1639707055
Tooele,40.5308,-112.2983,27.27,100,90,0.0,US,1639707056
Fairfield,41.2668,-73.3162,54.09,70,1,1.99,US,1639707056
Barão de Melgaço,-16.1944,-55.9675,79.32,97,100,3.27,BR,1639707056
Itarema,-2.9248,-39.9167,80.67,79,84,17.02,BR,1639707057
Calvinia,-31.4707,19.776,53.96,59,0,24.99,ZA,1639707057
Arrecife,28.963,-13.5477,66.18,68,0,14.97,ES,1639707057
Makakilo City,21.3469,-158.0858,77.22,67,75,9.22,US,1639707058
Lábrea,-7.2586,-64.7981,75.16,96,100,2.33,BR,1639706890
Chancay,-11.5714,-77.2672,66.27,85,52,6.82,PE,1639707058
Adré,13.4667,22.2,63.23,28,96,14.76,TD,1639707059
Qaqortoq,60.7167,-46.0333,19.9,81,100,2.44,GL,1639707059
Iquique,-20.2208,-70.1431,66.24,78,91,3.67,CL,1639707059
Santoshpur,22.5253,88.265,62.58,45,3,6.22,IN,1639707059
Kumul,42.8,93.45,20.19,53,9,1.39,CN,1639707060
Kiryat Gat,31.61,34.7642,54.3,100,98,6.15,IL,1639707061
Murray Bridge,-35.1167,139.2667,96.26,14,55,16.84,AU,1639707061
Shimokizukuri,40.8061,140.3861,44.62,85,100,9.44,JP,1639706878
Jimma,7.6667,36.8333,59.67,65,100,0.2,ET,1639707061
Georgiyevka,43.0369,74.7114,21.24,100,90,2.24,KZ,1639707062
Lodja,-3.4833,23.4333,66.54,99,96,1.01,CD,1639707062
Bera,24.0833,89.6167,65.1,64,34,7.2,BD,1639707063
Aloleng,16.1307,119.7824,83.59,62,58,7.4,PH,1639707064
Jacareacanga,-6.2222,-57.7528,74.93,98,100,1.97,BR,1639707124
Maniitsoq,65.4167,-52.9,13.37,68,12,7.05,GL,1639707124
Kaspiysk,42.8816,47.6392,44.24,87,90,7.0,RU,1639707124
Kalāleh,37.3807,55.4916,48.94,25,0,9.53,IR,1639707125
Columbus,39.9612,-82.9988,48.67,87,20,11.5,US,1639707125
Feijó,-8.1642,-70.3536,73.85,98,72,1.66,BR,1639707125
Abapó,-18.8333,-63.4667,65.64,83,69,4.61,BO,1639707126
Teahupoo,-17.8333,-149.2667,80.56,77,84,10.94,PF,1639707126
Siderno,38.2779,16.302,49.55,74,8,5.17,IT,1639707126
Vieux-Habitants,16.0589,-61.7659,76.57,74,52,13.18,GP,1639707127
Dongsheng,39.8161,109.9776,7.52,34,0,9.55,CN,1639707127
Russellville,35.2784,-93.1338,52.18,73,1,0.0,US,1639707127
Shāmgarh,24.1833,75.6333,55.96,68,4,10.09,IN,1639707129
Mount Gambier,-37.8333,140.7667,89.22,17,66,7.94,AU,1639707129
Erzin,36.9559,36.2,39.92,73,10,3.78,TR,1639707129
Byron Bay,-28.65,153.6167,74.35,83,35,9.64,AU,1639706990
Juba,4.8517,31.5825,75.85,55,97,3.49,SS,1639707130
Kisanga,-7.4362,37.7034,71.82,96,100,1.1,TZ,1639707130
Enid,36.3956,-97.8784,39.58,58,1,8.05,US,1639707130
Bathsheba,13.2167,-59.5167,79.41,69,40,24.16,BB,1639707131
Rutland,43.6167,-73.0162,53.85,80,100,1.01,US,1639707131
